a,b,measure,emotion,diff,lo,hi,excludes_zero
Raziel / narration,Raziel / dialogue,share,sadness,-0.0282670824644127,-0.05414000135345497,-5.865604198588523e-4,TRUE
Raziel / narration,Raziel / dialogue,share,surprise,0.011301966692248498,-0.006119859349878469,0.029023063991575896,FALSE
Raziel / narration,Raziel / dialogue,share,trust,-0.02300236116616669,-0.051012628774540686,0.006951018466611304,FALSE
Raziel / narration,Raziel / dialogue,rate100,anger,0.8098099059341246,0.04873272868670947,1.538807569594214,TRUE
Raziel / narration,Raziel / dialogue,rate100,anticipation,0.6153718805133386,0.08276742114807191,1.1411227554734211,TRUE
Raziel / narration,Raziel / dialogue,rate100,disgust,0.06118938084326553,-0.5042301575873048,0.5824809503039843,FALSE
Raziel / narration,Raziel / dialogue,rate100,fear,0.4122931332219597,-0.3266828296841691,1.146697989564546,FALSE
Raziel / narration,Raziel / dialogue,rate100,joy,0.37864877625776505,-0.01008411052671268,0.7588142366154333,FALSE
Raziel / narration,Raziel / dialogue,rate100,sadness,-0.18227566480461554,-0.8723961132731614,0.5434407527852557,FALSE
Raziel / narration,Raziel / dialogue,rate100,surprise,0.33653796408255243,-0.020329537562625268,0.683533285839282,FALSE
Raziel / narration,Raziel / dialogue,rate100,trust,-0.15420784094681972,-0.7092960205011913,0.4115151083219591,FALSE
Kain / narration,Raziel / narration,share,anger,-0.01607580697905092,-0.03881238281005357,0.007553529321637545,FALSE
Kain / narration,Raziel / narration,share,anticipation,0.0018474117916841282,-0.02274498797812616,0.02669674797102154,FALSE
Kain / narration,Raziel / narration,share,disgust,0.012545167623955703,-0.008150108911336095,0.03321833961585332,FALSE
Kain / narration,Raziel / narration,share,fear,-0.02603201999519661,-0.04868971599245233,-0.002292612124003548,TRUE
Kain / narration,Raziel / narration,share,joy,0.016438776244034753,-0.00372635273098041,0.03524481165721364,FALSE
Kain / narration,Raziel / narration,share,sadness,-0.010851084904956315,-0.03610466831262629,0.012824384152565836,FALSE
Kain / narration,Raziel / narration,share,surprise,-0.004350882049236268,-0.02058441712629559,0.011721061465645688,FALSE
Kain / narration,Raziel / narration,share,trust,0.026478438268765503,-0.0010608953374017973,0.054483453748363754,FALSE
Kain / narration,Raziel / narration,rate100,anger,0.0049727748159278384,-0.7766159453964071,0.7363198994161604,FALSE
Kain / narration,Raziel / narration,rate100,anticipation,0.31079842599548346,-0.23261048060623538,0.8797219577883637,FALSE
Kain / narration,Raziel / narration,rate100,disgust,0.5040392424705291,-0.07589222557201376,1.108610123034788,FALSE
Kain / narration,Raziel / narration,rate100,fear,-0.10993167740942678,-0.9751389321088016,0.7330862796524338,FALSE
Kain / narration,Raziel / narration,rate100,joy,0.511604530986224,0.055908863058555115,0.9696633091802292,TRUE
Kain / narration,Raziel / narration,rate100,sadness,0.061037778685747224,-0.6584414677761511,0.7247387433944604,FALSE
Kain / narration,Raziel / narration,rate100,surprise,0.030367280354582915,-0.3254760894623976,0.4001443040562879,FALSE
Kain / narration,Raziel / narration,rate100,trust,0.8293618095442405,0.2585810221571491,1.4236109728089803,TRUE
Kain / dialogue,Raziel / dialogue,share,anger,-0.006812681968944856,-0.03316343777908437,0.021335307374256183,FALSE
Kain / dialogue,Raziel / dialogue,share,anticipation,0.039387002433007315,0.009646713455336006,0.06878620706405546,TRUE
Kain / dialogue,Raziel / dialogue,share,disgust,-0.006461000631457561,-0.030414326198905814,0.016427179287451528,FALSE
Kain / dialogue,Raziel / dialogue,share,fear,-0.04693180911939776,-0.0736062685729529,-0.02164122642063822,TRUE
Kain / dialogue,Raziel / dialogue,share,joy,0.021933672115330566,0.0019799205858062894,0.04184296216085457,TRUE
Kain / dialogue,Raziel / dialogue,share,sadness,-0.034969414182563135,-0.06240861398602926,-0.007822175881914325,TRUE
Kain / dialogue,Raziel / dialogue,share,surprise,0.009870610029847154,-0.008671136396067008,0.028551222333305717,FALSE
Kain / dialogue,Raziel / dialogue,share,trust,0.023983621324178278,-0.009908100604666827,0.05784861254837922,FALSE
Kain / dialogue,Raziel / dialogue,rate100,anger,-0.2185723182699122,-0.8428029041672869,0.4822324687030921,FALSE
Kain / dialogue,Raziel / dialogue,rate100,anticipation,0.59887355637847,0.03456404916240836,1.1795480147137432,TRUE
Kain / dialogue,Raziel / dialogue,rate100,disgust,-0.1912752043185988,-0.735534473529335,0.36225144698376,FALSE
Kain / dialogue,Raziel / dialogue,rate100,fear,-0.9603001063450898,-1.6640350773786603,-0.2417989672436204,TRUE
Kain / dialogue,Raziel / dialogue,rate100,joy,0.33645437647310206,-0.07132062488993705,0.7618805585140507,FALSE
Kain / dialogue,Raziel / dialogue,rate100,sadness,-0.7174056408160006,-1.3693966321387296,-0.08681295612378304,TRUE
Kain / dialogue,Raziel / dialogue,rate100,surprise,0.13527723878107567,-0.2540608821302907,0.5245850685454623,FALSE
Kain / dialogue,Raziel / dialogue,rate100,trust,0.31569341588427235,-0.3178604939077172,0.9734193871787574,FALSE
Kain / dialogue,Supporting / dialogue,share,anger,0.005039522548682673,-0.015438479501921235,0.02740582961769639,FALSE
Kain / dialogue,Supporting / dialogue,share,anticipation,-0.00994328209767023,-0.03542417708183489,0.016738741293881563,FALSE
Kain / dialogue,Supporting / dialogue,share,disgust,0.008058115873332355,-0.012084887305885672,0.02848225466088232,FALSE
Kain / dialogue,Supporting / dialogue,share,fear,-0.006210187500339387,-0.030412206448345955,0.016398582558433603,FALSE
